boxing_drill_side_shift_uppercut|Side Shift Uppercut
boxing_drill_squat_2_side|Squat + 2 Side Punches
boxing_drill_squats_punches|Squats + Punches
boxing_drill_step_in_out|Step In/Out + Punches
boxing_drill_turn_punches|Turn With Punches
footwork_cont_switch|Continuous Switch
footwork_cont_switch_fwd_back|Continuous Switch Forward/Backward
footwork_rev_switch|Reverse Switch
footwork_fwd_back_dash_switch|Forward Dash Switch + Backward Dash Switch
footwork_double_fwd_back_dash|Double Forward Dash Switch + Double Backward Dash Switch
footwork_side_dash|Side Dash
footwork_side_dash_switch_2|Side Dash Switch 2 Times
footwork_v_step|V-Step
footwork_v_step_switch|V-Step Switch
footwork_zig_zag_switch|Zig-Zag Switch
footwork_turn_step_fwd_back|Turn Step Forward + Backward Dash
footwork_rev_turn_back_dash|Reverse Turn Step + Backward Dash
footwork_fwd_rev_jump_switch|Forward Dash + Reverse Jump Switch
footwork_skip_fwd_jump_back|Skip Forward + Jump Switch + Backward Dash
footwork_big_fwd_small_back|Big Dash Forward + Two Small Steps Backward
footwork_two_fwd_big_back|Two Small Steps Forward + Big Dash Backward
footwork_skip_fwd_back_switch|Skip Dash Forward + Skip Dash Backward + Jump Switch
footwork_skip_fwd_triple_switch|Skip Dash Forward + Triple Jump Switch
footwork_skip_fwd_turn_back|Skip Dash Forward + Turn Step Dash Backward
footwork_tornado_feint_switch|Tornado Feint Stance Switch
footwork_tornado_feint_back_kick|Tornado Feint Jump Back Kick Feint
jump_rope_active_single_hand|Active Single Hand Side Swings
jump_rope_ali_shuffle|Ali Shuffle
jump_rope_basic_bounce|Basic Bounce
jump_rope_boxer_skip|Boxer Skip
jump_rope_catch_foot|Catch with Foot
jump_rope_criss_cross|Criss Cross
jump_rope_cross_straddle|Cross Straddle
jump_rope_diagonal_straddle|Diagonal Straddle
jump_rope_double_under|Double Under
jump_rope_double_criss|Double Under + Criss Cross
kicks_combo_2|Inside-Out Kick + Outside-In Kick + Spinning Back Kick
kicks_combo_3|Spinning Back Kick + High Kick + Inside-Out Kick
kicks_combo_4|Low Kick + Front Kick + Spinning Back Kick
kicks_combo_5|Back Kick + High Kick + Front Kick
kicks_combo_6|Spinning Low Kick + Middle Side Kick + High Kick
kicks_combo_7|Whip Kick + Front Kick + Spinning Back Kick
kicks_combo_8|High Side Kick + Axe Kick + Middle Kick
kicks_combo_9|Back Kick + Outside-In Kick
kicks_combo_10|Full Kick + Axe Kick
kicks_combo_11|Inside-Out Kick + Spinning Back Kick
kicks_combo_12|Roundhouse Kick + Pop Jumping Back Kick
kicks_combo_13|Push Kick + Jumping Back Kick
kicks_combo_14|Middle Side Kick + Spinning Middle Kick + Inside-Out Kick
kicks_combo_15|Crescent Kick + Roundhouse Kick
kicks_combo_16|Axe Kick + Tornado Kick
kicks_combo_17|Spinning Roundhouse Kick + Jumping Back Kick
kicks_combo_18|Spinning Back Push Kick + Jumping Axe Kick
kicks_combo_19|Front Kick + Tornado Kick
kicks_combo_20|Push Kick + Jumping Spinning Back Kick
kicks_combo_21|Roundhouse Kick + Jumping Front Push Kick
kicks_combo_22|Back Kick + Jumping Axe Kick
kicks_combo_23|Full Kick + Tornado Kick
kicks_combo_24|2 Tornado Kick
kicks_combo_25|Front Kick + Jumping Back Kick
kicks_combo_26|Roundhouse Kick + Jumping Tornado Kick
kicks_combo_27|Back Kick + Tornado Kick
kicks_combo_28|Push Kick + Tornado Kick
kicks_combo_29|Roundhouse Kick + Jumping Axe Kick
kicks_combo_30|Back Kick + Jumping Tornado Kick
kicks_combo_31|Axe Kick + Jumping Front Push Kick
kicks_combo_32|Spinning Back Push Kick + Tornado Kick
kicks_combo_33|Front Kick + Jumping Spinning Back Kick
kicks_combo_34|Spinning Back Kick + Tornado Kick
kicks_combo_35|Back Sweep Kick + Jumping Axe Kick
kicks_combo_36|Front Sweep Kick + Jumping Spinning Back Kick
kicks_combo_37|Roundhouse Kick + Tornado Kick
kicks_combo_38|Back Kick + Jumping Spinning Back Pop Kick
kicks_combo_39|Axe Kick + Side Kick
kicks_combo_40|Side Kick + Inside-Out Kick
kicks_combo_41|Back Kick + Front Kick
kicks_combo_42|Inside-Out Kick + Side Kick
kicks_combo_43|Axe Kick + Front Kick
kicks_combo_44|Roundhouse Kick + Axe Kick
kicks_combo_45|Side Kick + Spinning Back Kick
kicks_combo_46|Front Kick + Full Kick
kicks_combo_47|Axe Kick + Back Kick
kicks_combo_48|Side Kick + Axe Kick
kicks_combo_49|Full Kick + Side Kick
kicks_combo_50|Back Kick + Side Kick
kicks_combo_51|Front Kick + Jumping Front Kick
kicks_combo_52|Front Kick + Roundhouse Kick
kicks_combo_53|Side Kick + Front Kick
kicks_combo_54|Back Kick + Roundhouse Kick
kicks_combo_55|Roundhouse Kick + Side Kick
kicks_combo_56|Front Kick + Axe Kick
kicks_combo_57|Side Kick + Back Kick
kicks_combo_58|Axe Kick + Roundhouse Kick
kicks_combo_59|Front Kick + Side Kick
kicks_combo_60|Side Kick + Roundhouse Kick
kicks_combo_61|Back Kick + Axe Kick
kicks_combo_62|Roundhouse Kick + Back Kick
kicks_push|Push Kick
kicks_low|Low Kick
kicks_mid|Middle Kick
kicks_high|High Kick
kicks_side|Side Kick
kicks_back|Back Kick
kicks_whip|Whip Kick
kicks_axe|Axe Kick
kicks_spin_back|Spinning Back Kick
kicks_front_sweep|Front Sweep Kick
kicks_back_sweep|Back Sweep Kick
kicks_spin_low|Spinning Low Kick
kicks_spin_mid|Spinning Middle Kick
kicks_spin_high|Spinning High Kick
kicks_high_front|High Kick Front Leg
kicks_mid_front|Middle Kick Front Leg
kicks_low_front|Low Kick Front Leg
kicks_inside_out|Inside-Out Kick
kicks_outside_in|Outside-In Kick
kicks_full_low|Full Low Kick
kicks_full_mid|Full Middle Kick
kicks_full_high|Full High Kick
kicks_crescent|Crescent Kick
kicks_hook|Hook Kick
kicks_spin_round|Spinning Roundhouse Kick
kicks_tornado|Tornado Kick
kicks_jump_spin_pop|Jumping Spinning Back Pop Kick
kicks_jump_axe|Jumping Axe Kick
kicks_jump_whip|Jumping Whip Kick
kicks_jump_inside_out|Jumping Inside-Out Kick
kicks_jump_front|Jumping Front Kick
kicks_jump_front_push|Jumping Front Push Kick
kicks_jump_side|Jumping Side Kick
kicks_jump_back|Jumping Back Kick
kicks_chair_front_3ns|3 Front Kick No Step Down with Chair
kicks_chair_round|Roundhouse Kick with Chair
kicks_chair_round_1s|Roundhouse Kick 1 Second with Chair
kicks_chair_round_3|3 Roundhouse Kick with Chair
